深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
253.0	28	0.394	1.11	9.5	10.0
253.1	31	0.342	0.77	6.4	18.2
253.2	22	0.33	0.84	7.7	12.3
253.3	25	0.291	0.05	7.8	19.6
253.4	31	0.106	0.97	5.4	12.9
253.5	40	0.275	0.93	5.7	14.7
253.6	35	0.314	1.11	7.8	20.0
253.7	26	0.258	0.79	5.4	17.8
253.8	14	0.181	0.41	7.5	18.1
253.9	34	0.146	0.41	5.3	10.2
254.0	15	0.291	0.51	9.1	14.7
254.1	32	0.388	0.59	9.4	15.8
254.2	35	0.199	1.19	5.4	17.6
254.3	34	0.264	1.05	7.2	19.7
254.4	25	0.192	1.42	5.8	11.8
254.5	13	0.376	1.17	5.3	12.3
254.6	34	0.181	1.21	8.1	10.0
254.7	22	0.348	1.12	7.9	20.0
254.8	36	0.379	0.81	5.5	10.7
254.9	18	0.227	0.83	8.0	15.8
255.0	14	0.162	0.98	5.9	11.5
255.1	17	0.323	0.54	9.7	17.8
255.2	19	0.15	0.06	7.6	19.7
255.3	38	0.218	0.65	6.8	12.4
255.4	31	0.171	0.4	8.6	17.8
255.5	27	0.223	0.46	8.8	20.0
255.6	36	0.32	0.83	9.3	13.1
255.7	18	0.163	0.92	6.9	16.9
255.8	40	0.331	0.43	8.9	18.1
255.9	31	0.32	1.18	6.2	18.1
256.0	39	0.141	1.02	8.2	14.8
256.1	39	0.399	1.5	7.0	12.3
256.2	28	0.396	0.01	8.8	19.1
256.3	31	0.343	0.7	7.0	17.8
256.4	11	0.182	0.75	8.2	13.4
256.5	22	0.196	0.81	5.4	19.4
256.6	17	0.227	0.74	7.9	13.6
256.7	14	0.176	0.67	7.8	16.5
256.8	22	0.224	0.28	5.2	19.3
256.9	24	0.118	0.96	7.3	11.6
257.0	21	0.253	0.57	6.7	13.8
257.1	35	0.11	1.5	8.5	14.5
257.2	30	0.319	0.1	8.7	16.5
257.3	21	0.253	0.9	5.2	13.7
257.4	40	0.108	1.14	7.6	12.9
257.5	21	0.273	0.49	7.9	17.4
257.6	24	0.367	0.17	9.4	14.3
257.7	34	0.243	1.02	6.7	18.4
257.8	30	0.356	0.96	8.4	12.0
257.9	31	0.133	0.42	5.4	13.6
258.0	15	0.197	0.53	7.0	18.4
258.1	16	0.16	0.73	7.4	19.2
258.2	28	0.104	0.82	8.8	15.5
258.3	23	0.295	0.55	7.5	18.6
258.4	35	0.35	0.12	7.8	11.5
258.5	39	0.289	0.93	8.9	18.1
258.6	21	0.211	0.92	7.4	18.7
258.7	39	0.221	0.27	5.1	13.2
258.8	12	0.173	0.36	6.2	15.8
258.9	20	0.331	0.0	5.9	15.8
259.0	34	0.218	0.55	5.0	18.9
259.1	33	0.112	0.7	8.6	14.9
259.2	31	0.345	0.7	8.3	14.3
259.3	34	0.302	0.81	6.4	10.6
259.4	29	0.145	1.07	7.5	16.3
259.5	24	0.282	1.22	5.6	17.6
259.6	28	0.381	0.03	8.5	14.8
259.7	18	0.335	0.13	9.4	10.3
259.8	21	0.331	0.13	5.2	17.5
259.9	10	0.124	0.5	6.9	18.5
260.0	12	0.396	0.34	9.4	18.0
260.1	14	0.1	0.03	9.3	13.3
260.2	39	0.263	1.46	5.3	18.2
260.3	23	0.314	1.32	6.6	16.6
260.4	35	0.188	1.33	7.2	17.3
260.5	33	0.128	0.12	6.7	12.8
260.6	36	0.232	0.87	9.4	10.7
260.7	31	0.303	0.37	8.6	11.4
260.8	24	0.264	0.89	8.6	13.5
260.9	19	0.35	0.06	7.6	12.0
261.0	21	0.279	0.88	6.3	11.9
261.1	19	0.14	1.33	8.6	13.2
261.2	22	0.133	0.13	7.2	18.5
261.3	39	0.266	1.1	7.0	19.2
261.4	18	0.183	0.54	9.8	18.3
261.5	11	0.295	0.53	8.8	15.4
261.6	28	0.246	1.38	7.6	17.9
261.7	13	0.108	0.65	8.5	14.8
261.8	20	0.306	0.85	8.6	12.3
261.9	36	0.227	1.2	6.2	17.5
262.0	34	0.177	0.26	6.8	10.4
262.1	32	0.123	1.5	5.7	16.0
262.2	22	0.119	0.3	8.9	14.6
262.3	20	0.334	0.84	5.6	16.9
262.4	11	0.302	0.86	7.9	14.0
262.5	15	0.138	0.46	6.3	14.6
262.6	17	0.395	1.12	7.0	15.9
262.7	10	0.391	0.24	5.4	16.7
262.8	30	0.312	1.29	9.9	17.3
262.9	38	0.162	0.73	5.7	14.5
263.0	15	0.271	1.23	7.9	19.9
263.1	22	0.329	0.39	7.2	16.9
263.2	21	0.151	0.5	5.1	18.0
263.3	32	0.259	0.42	5.0	17.5
263.4	35	0.152	1.0	9.2	12.3
263.5	35	0.248	0.02	8.9	11.5
263.6	14	0.267	0.7	9.4	15.9
263.7	23	0.179	0.18	9.8	15.0
263.8	24	0.302	0.26	7.5	18.3
263.9	30	0.219	1.17	8.4	14.1
264.0	18	0.209	0.72	6.1	16.0
264.1	40	0.174	0.16	6.6	16.4
264.2	15	0.22	0.55	5.3	13.2
264.3	13	0.288	0.12	6.1	18.6
264.4	28	0.289	1.37	6.6	12.3
264.5	14	0.395	0.3	6.6	16.9
264.6	38	0.279	1.4	9.1	18.8
264.7	34	0.306	0.0	5.0	14.9
264.8	17	0.137	0.35	6.0	18.0
264.9	26	0.154	0.6	6.1	19.6
265.0	19	0.269	1.22	5.1	10.1
265.1	17	0.28	0.48	8.0	17.4
265.2	30	0.221	0.98	6.9	12.3
265.3	22	0.399	0.0	9.4	15.2
265.4	35	0.381	1.07	5.9	19.6
265.5	26	0.32	0.78	7.9	19.1
265.6	31	0.233	1.19	6.9	11.8
265.7	10	0.236	0.13	7.6	18.7
265.8	40	0.205	1.38	9.0	15.5
265.9	16	0.299	0.33	6.1	10.9
266.0	20	0.156	1.1	7.4	19.1
266.1	40	0.277	1.49	5.8	17.2
266.2	40	0.344	0.32	5.7	17.3
266.3	28	0.392	0.02	5.4	14.1
266.4	28	0.303	0.03	8.1	10.5
266.5	40	0.307	0.88	8.5	19.6
266.6	28	0.152	0.91	8.8	15.9
266.7	37	0.115	1.15	6.9	13.5
266.8	18	0.256	0.7	7.2	16.8
266.9	35	0.242	0.68	5.5	18.8
267.0	39	0.287	0.81	9.2	19.3
267.1	33	0.319	1.39	10.0	16.0
267.2	34	0.137	1.01	7.6	19.9
267.3	25	0.133	0.07	9.4	18.7
267.4	26	0.174	1.23	5.9	18.4
267.5	25	0.269	1.05	9.6	14.8
267.6	28	0.24	0.8	6.1	14.1
267.7	21	0.289	0.48	7.2	15.6
267.8	10	0.203	1.18	6.6	15.7
267.9	34	0.274	1.15	8.4	19.4
268.0	25	0.153	0.23	9.8	15.7
268.1	20	0.164	0.96	8.1	14.9
268.2	23	0.28	1.13	8.3	11.7
268.3	23	0.354	1.22	7.2	10.2
268.4	11	0.309	0.3	5.5	13.7
268.5	19	0.134	0.72	7.4	12.3
268.6	37	0.391	1.11	7.4	18.3
268.7	12	0.115	0.17	5.8	17.5
268.8	23	0.213	0.49	5.7	12.7
268.9	14	0.2	0.12	5.6	16.9
269.0	11	0.196	0.36	5.6	11.6
269.1	21	0.312	1.17	6.3	12.4
269.2	16	0.294	1.17	9.9	10.3
269.3	39	0.343	1.15	9.9	12.0
269.4	16	0.116	0.62	5.2	13.5
269.5	22	0.162	0.86	7.3	11.8
269.6	30	0.278	0.37	8.7	15.1
269.7	37	0.19	0.41	5.0	17.3
269.8	34	0.129	0.98	5.7	14.1
269.9	27	0.233	0.03	10.0	18.7
270.0	16	0.383	1.04	7.0	16.0
270.1	18	0.302	0.72	5.0	11.3
270.2	20	0.206	1.38	6.2	18.4
270.3	23	0.203	0.04	9.4	14.2
270.4	29	0.373	1.16	8.0	12.1
270.5	21	0.179	0.52	6.6	15.6
270.6	38	0.327	0.13	8.5	16.1
270.7	16	0.361	1.31	9.7	16.4
270.8	31	0.193	0.97	7.0	15.3
270.9	27	0.261	1.02	6.5	12.8
271.0	34	0.372	0.22	5.5	14.3
271.1	19	0.192	1.08	6.3	11.6
271.2	13	0.197	1.19	8.1	11.9
271.3	26	0.148	1.4	6.0	14.3
271.4	17	0.324	0.12	8.7	11.6
271.5	15	0.354	0.24	7.7	19.7
271.6	38	0.133	0.12	9.9	17.2
271.7	35	0.297	0.39	8.6	14.8
271.8	40	0.333	0.79	7.2	19.1
271.9	25	0.259	1.32	8.7	16.9
272.0	32	0.181	1.12	6.0	19.8
272.1	31	0.206	1.04	7.7	14.9
272.2	29	0.34	0.93	5.5	19.4
272.3	33	0.16	1.35	7.8	18.4
272.4	17	0.132	1.05	5.2	14.6
272.5	22	0.327	1.42	5.9	12.3
272.6	19	0.274	0.49	7.8	12.8
272.7	33	0.207	1.31	5.5	11.7
272.8	29	0.38	1.36	9.0	12.0
272.9	40	0.287	0.86	9.9	18.5
273.0	26	0.274	1.13	8.3	14.1
273.1	16	0.215	1.04	8.2	16.0
273.2	30	0.139	0.21	8.1	13.6
273.3	30	0.345	1.3	8.2	15.0
273.4	31	0.121	1.07	5.9	19.6
273.5	10	0.344	0.53	6.0	10.6
273.6	33	0.383	1.38	8.6	15.5
273.7	23	0.318	1.23	9.2	15.7
273.8	37	0.123	0.06	5.6	15.3
273.9	10	0.152	0.01	7.6	19.7
274.0	24	0.289	0.73	9.0	14.8
274.1	24	0.154	0.64	6.1	12.9
274.2	20	0.301	0.87	7.7	12.4
274.3	20	0.281	1.23	8.9	12.8
274.4	28	0.387	0.12	6.2	13.1
274.5	22	0.243	1.34	5.1	16.2
274.6	36	0.263	0.09	5.1	18.1
274.7	35	0.127	0.77	9.1	17.6
274.8	15	0.181	0.27	9.9	13.8
274.9	14	0.396	1.27	7.5	11.7
275.0	38	0.146	1.5	9.3	19.5
275.1	34	0.21	1.28	8.9	15.5
275.2	25	0.389	0.89	9.2	15.4
275.3	22	0.331	0.33	5.6	16.5
275.4	21	0.308	0.13	9.0	19.7
275.5	39	0.357	0.32	6.8	19.2
275.6	36	0.387	0.12	7.4	17.4
275.7	29	0.394	1.27	9.8	10.9
275.8	36	0.308	0.19	9.5	14.2
275.9	11	0.255	0.33	5.1	16.8
276.0	32	0.11	0.58	5.5	11.3
276.1	37	0.204	1.3	6.0	16.3
276.2	27	0.124	0.3	8.7	10.4
276.3	28	0.311	0.12	5.1	17.9
276.4	19	0.303	0.36	5.9	14.4
276.5	18	0.169	0.5	6.1	15.8
276.6	12	0.24	0.08	8.6	17.5
276.7	14	0.26	1.29	8.5	15.1
276.8	37	0.34	0.54	8.4	18.6
276.9	11	0.205	0.86	6.3	10.3
277.0	12	0.362	1.23	7.2	16.5
277.1	16	0.284	0.04	9.7	18.5
277.2	12	0.118	0.9	5.1	15.7
277.3	22	0.176	0.04	6.1	10.9
277.4	22	0.165	0.68	9.5	15.0
277.5	24	0.169	1.14	6.5	11.4
277.6	38	0.383	0.16	6.6	16.3
277.7	30	0.155	0.88	6.3	10.2
277.8	13	0.341	1.27	7.1	14.6
277.9	19	0.336	0.97	6.0	10.5
278.0	35	0.158	0.51	9.1	16.1
278.1	22	0.16	0.45	7.2	13.3
278.2	19	0.129	0.01	7.3	15.3
278.3	20	0.259	0.04	8.7	11.0
278.4	40	0.288	0.51	8.2	15.7
278.5	10	0.135	0.65	9.3	16.4
278.6	30	0.224	0.54	7.5	12.2
278.7	12	0.229	0.88	6.4	14.8
278.8	16	0.136	0.01	5.1	14.1
278.9	39	0.255	1.25	9.3	12.4
279.0	20	0.348	0.09	5.2	18.5
279.1	11	0.355	0.85	9.6	15.8
279.2	35	0.108	0.97	5.8	12.6
279.3	34	0.396	0.1	7.6	19.6
279.4	27	0.397	0.48	8.4	10.7
279.5	14	0.125	0.46	8.2	10.0
279.6	23	0.172	1.14	5.2	11.6
279.7	23	0.223	0.92	6.7	15.9
279.8	38	0.293	0.63	8.9	14.7
279.9	35	0.364	1.33	5.6	14.6
280.0	38	0.287	0.37	8.3	15.7
280.1	14	0.25	0.62	5.7	10.0
280.2	39	0.281	1.14	9.7	17.4
280.3	22	0.207	1.49	6.2	13.4
280.4	31	0.371	1.2	5.8	12.2
280.5	30	0.349	0.52	6.4	17.5
280.6	38	0.262	1.09	5.3	10.6
280.7	30	0.363	0.29	9.3	13.1
280.8	20	0.332	0.53	9.5	10.1
280.9	10	0.115	0.74	5.1	18.2
281.0	16	0.152	0.5	5.3	16.6
281.1	34	0.306	1.32	5.0	19.2
281.2	28	0.387	0.3	8.4	17.6
281.3	32	0.271	1.26	8.3	14.0
281.4	10	0.317	0.99	9.2	13.5
281.5	22	0.362	0.56	7.0	15.0
281.6	15	0.115	0.23	9.1	15.9
281.7	18	0.109	0.86	6.7	10.8
281.8	19	0.317	0.18	9.1	13.2
281.9	19	0.36	1.19	9.2	18.4
282.0	23	0.323	0.0	6.8	14.0
282.1	32	0.17	0.23	9.5	19.8
282.2	15	0.119	0.68	9.0	16.2
282.3	28	0.398	1.42	9.4	14.8
282.4	21	0.323	0.76	7.0	19.5
282.5	18	0.384	0.03	6.2	12.6
282.6	39	0.331	0.41	7.1	13.8
282.7	14	0.309	0.93	10.0	12.5
282.8	31	0.192	1.03	5.6	17.4
282.9	32	0.292	0.63	7.2	16.5
283.0	17	0.262	1.45	7.9	13.2
283.1	34	0.236	0.7	5.3	15.7
283.2	32	0.164	0.1	7.5	18.0
283.3	24	0.184	0.32	9.5	19.9
283.4	10	0.109	0.79	9.7	17.6
283.5	40	0.158	0.42	6.2	19.9
283.6	37	0.229	0.2	5.9	13.4
283.7	34	0.328	0.75	5.9	12.9
283.8	18	0.228	1.48	7.3	15.5
283.9	28	0.338	1.2	5.2	14.9
284.0	14	0.334	0.03	7.5	19.5
284.1	27	0.188	0.38	6.4	16.9
284.2	37	0.264	0.71	9.2	14.6
284.3	30	0.293	1.37	5.5	14.2
284.4	30	0.321	0.11	8.3	11.1
284.5	36	0.351	0.52	7.1	13.0
284.6	27	0.227	1.01	9.0	11.7
284.7	23	0.285	0.51	8.9	16.3
284.8	35	0.18	0.55	5.6	12.1
284.9	10	0.17	0.14	9.9	18.7
285.0	28	0.351	0.95	8.5	10.1
285.1	22	0.178	0.24	10.0	12.7
285.2	27	0.321	1.27	7.6	16.1
285.3	30	0.278	0.22	9.9	14.3
285.4	12	0.154	0.64	5.9	11.6
285.5	14	0.346	0.1	8.0	19.7
285.6	37	0.31	0.17	5.2	17.6
285.7	40	0.267	1.48	8.5	17.3
285.8	16	0.137	0.34	9.2	15.1
285.9	33	0.363	0.48	8.4	14.8
286.0	10	0.362	1.23	7.1	11.3
286.1	24	0.388	0.34	8.8	12.9
286.2	30	0.277	0.53	9.0	10.3
286.3	20	0.209	1.3	5.1	10.0
286.4	30	0.227	0.28	9.4	14.4
286.5	39	0.126	0.74	7.3	19.3
286.6	32	0.158	1.0	8.1	12.9
286.7	29	0.129	1.46	8.1	10.6
286.8	22	0.272	1.5	7.5	14.8
286.9	40	0.111	0.91	5.9	15.1
287.0	36	0.14	0.62	8.2	13.4
287.1	31	0.312	0.63	7.1	16.3
287.2	34	0.354	0.83	8.1	13.4
287.3	37	0.149	1.08	8.1	10.0
287.4	11	0.309	0.75	6.5	18.7
287.5	29	0.223	1.22	7.4	19.0
287.6	10	0.273	0.03	8.1	13.1
287.7	13	0.31	0.96	7.8	17.8
287.8	11	0.307	0.66	7.2	10.5
287.9	12	0.18	0.72	7.7	19.7
288.0	30	0.177	1.03	6.6	10.4
288.1	34	0.168	0.42	7.9	14.1
288.2	18	0.308	0.67	6.2	10.3
288.3	40	0.108	0.82	8.3	14.8
288.4	37	0.339	0.23	6.4	11.7
288.5	22	0.209	0.93	9.2	12.1
288.6	35	0.138	0.33	5.1	10.8
288.7	27	0.186	0.11	6.4	12.9
288.8	19	0.153	0.66	5.2	17.7
288.9	32	0.212	0.51	10.0	18.3
289.0	35	0.198	1.49	7.2	10.6
289.1	26	0.21	1.15	8.0	18.7
289.2	24	0.151	1.03	5.9	18.8
289.3	18	0.264	0.42	7.7	18.7
289.4	19	0.256	0.55	6.0	15.6
289.5	38	0.14	0.09	10.0	16.4
289.6	18	0.343	0.29	8.9	10.0
289.7	13	0.133	0.92	8.0	19.3
289.8	38	0.214	1.1	5.4	11.4
289.9	29	0.288	0.63	6.1	16.8
290.0	13	0.256	0.92	10.0	11.4
290.1	13	0.284	0.35	8.0	14.4
290.2	39	0.308	0.95	9.9	15.9
290.3	19	0.209	1.05	5.6	14.4
290.4	21	0.21	0.68	5.3	17.1
290.5	29	0.298	0.19	5.5	10.9
290.6	40	0.118	0.65	7.3	13.1
290.7	19	0.394	1.34	5.3	19.8
290.8	23	0.231	1.3	8.6	13.6
290.9	22	0.321	0.98	5.7	10.4
291.0	16	0.226	0.1	6.3	13.4
291.1	40	0.144	0.86	5.4	19.8
291.2	35	0.153	0.01	9.0	11.8
291.3	40	0.224	0.68	5.6	11.6
291.4	11	0.316	0.72	6.2	14.4
291.5	36	0.39	1.48	9.2	11.9
291.6	40	0.249	0.17	8.4	18.7
291.7	28	0.176	1.35	7.4	13.5
291.8	40	0.33	0.56	10.0	15.7
291.9	37	0.192	1.1	9.0	19.7
292.0	35	0.18	1.24	5.9	18.4
292.1	26	0.102	1.21	8.0	15.7
292.2	34	0.152	1.03	9.5	14.5
292.3	26	0.159	1.38	8.6	19.6
292.4	11	0.147	0.63	6.9	12.8
292.5	10	0.155	1.43	8.7	19.2
292.6	25	0.208	0.28	6.6	15.3
292.7	23	0.284	0.3	8.4	18.9
292.8	15	0.128	0.44	6.8	16.5
292.9	30	0.338	0.21	7.9	13.7
293.0	37	0.387	0.35	9.9	10.5
293.1	10	0.369	0.37	5.9	11.6
293.2	37	0.212	1.5	8.4	19.0
293.3	35	0.108	0.91	7.4	11.7
293.4	22	0.148	1.4	5.8	10.4
293.5	32	0.287	1.08	5.7	18.3
293.6	22	0.151	0.13	9.3	19.7
293.7	18	0.101	0.59	6.9	16.4
293.8	38	0.338	0.37	6.2	11.0
293.9	37	0.193	0.35	8.1	15.7
294.0	28	0.185	0.77	5.6	16.4
294.1	21	0.135	0.27	5.0	16.1
294.2	10	0.294	0.39	6.8	18.6
294.3	34	0.176	0.03	7.4	18.2
294.4	26	0.228	0.29	8.1	12.9
294.5	11	0.188	0.15	8.2	15.7
294.6	19	0.38	0.08	9.8	13.2
294.7	17	0.369	0.29	9.7	15.0
294.8	17	0.209	0.96	5.1	17.1
294.9	30	0.218	1.35	7.1	19.5
295.0	26	0.388	1.13	6.8	10.8
295.1	22	0.182	1.32	6.5	10.5
295.2	27	0.239	0.43	5.7	17.8
295.3	16	0.188	0.35	9.8	15.0
295.4	22	0.374	0.73	5.9	18.3
295.5	10	0.387	0.45	6.3	10.1
295.6	26	0.206	0.73	9.5	13.2
295.7	16	0.101	0.73	6.6	13.0
295.8	12	0.299	0.04	7.7	10.1
295.9	22	0.344	0.77	6.7	17.8
296.0	39	0.153	1.0	7.3	12.8
296.1	39	0.361	1.36	5.2	11.0
296.2	31	0.198	0.56	6.2	14.3
296.3	21	0.217	1.28	9.3	15.4
296.4	15	0.184	0.29	8.8	12.1
296.5	38	0.212	0.41	8.5	11.6
296.6	27	0.244	0.11	8.7	12.4
296.7	20	0.143	0.57	5.1	13.1
296.8	27	0.343	1.37	9.9	13.0
296.9	34	0.122	0.39	6.9	13.2
297.0	32	0.106	0.63	6.1	11.6
297.1	17	0.327	0.18	9.6	11.0
297.2	14	0.243	0.63	9.6	17.7
297.3	15	0.354	1.27	8.8	15.4
297.4	15	0.151	1.41	8.5	19.9
297.5	25	0.173	0.04	6.0	13.6
297.6	34	0.339	0.64	8.5	19.4
297.7	17	0.258	1.0	5.4	11.9
297.8	28	0.315	0.5	6.6	12.0
297.9	36	0.106	1.04	5.3	15.2
298.0	32	0.259	0.86	8.0	16.6
298.1	18	0.267	1.38	7.2	14.3
298.2	33	0.392	0.46	8.4	13.8
298.3	22	0.316	0.13	9.5	12.9
298.4	31	0.124	0.4	6.3	18.1
298.5	23	0.23	0.46	7.7	14.5
298.6	39	0.18	0.67	9.1	15.2
298.7	26	0.159	0.83	5.9	20.0
298.8	26	0.364	0.93	8.4	13.5
298.9	31	0.289	1.27	6.0	12.7
299.0	36	0.378	0.71	8.1	12.9
299.1	26	0.268	1.47	9.5	19.5
299.2	37	0.381	0.6	10.0	11.9
299.3	31	0.224	1.08	9.1	18.6
299.4	37	0.248	0.4	9.3	11.0
299.5	34	0.132	1.3	9.9	14.4
299.6	32	0.101	1.02	9.5	19.9
299.7	24	0.384	0.1	6.4	12.4
299.8	32	0.307	1.33	6.6	13.4
299.9	33	0.204	1.12	6.9	17.2
300.0	23	0.375	0.13	5.5	16.9
300.1	11	0.317	1.36	9.7	12.9
300.2	25	0.273	0.11	8.3	16.0
300.3	36	0.107	0.72	5.9	19.7
300.4	39	0.331	0.47	5.1	11.1
300.5	16	0.349	0.75	5.9	20.0
300.6	33	0.337	0.46	7.0	19.8
300.7	12	0.227	0.64	7.4	19.9
300.8	23	0.214	0.75	7.3	10.5
300.9	17	0.25	0.92	5.1	16.3
301.0	35	0.321	0.68	5.5	13.2
301.1	40	0.248	0.77	8.3	16.9
301.2	18	0.228	0.62	5.0	19.3
301.3	12	0.306	1.28	5.1	11.7
301.4	33	0.306	1.26	9.4	18.9
301.5	31	0.143	1.46	6.3	18.5
301.6	27	0.352	1.03	6.0	18.4
301.7	34	0.332	1.44	5.7	18.1
301.8	30	0.384	0.01	6.6	17.5
301.9	27	0.31	1.34	7.5	18.6
302.0	36	0.309	1.37	8.0	19.8
302.1	34	0.134	0.61	8.0	13.2
302.2	37	0.231	0.91	6.1	10.8
302.3	40	0.351	1.18	5.9	18.2
302.4	12	0.192	0.02	8.4	18.0
302.5	25	0.214	0.71	7.3	16.5
302.6	25	0.161	0.64	5.3	19.9
302.7	23	0.12	0.39	6.9	17.7
302.8	17	0.298	0.78	6.6	12.4
302.9	10	0.297	0.64	6.8	17.7
303.0	35	0.189	1.23	7.8	18.6
303.1	21	0.392	0.23	5.9	11.9
303.2	31	0.396	0.87	9.6	12.2
303.3	26	0.189	1.33	5.9	17.7
303.4	33	0.321	1.35	6.9	14.6
303.5	26	0.321	0.23	5.1	11.3
303.6	30	0.337	0.24	9.9	17.7
303.7	26	0.126	1.28	8.1	19.9
303.8	22	0.305	1.43	7.1	11.7
303.9	39	0.34	1.02	8.7	10.6
304.0	39	0.223	1.27	8.9	18.5
304.1	26	0.285	0.4	8.6	15.2
304.2	39	0.21	1.0	7.4	19.7
304.3	19	0.369	0.54	8.6	16.0
304.4	33	0.312	0.22	9.9	12.4
304.5	15	0.12	1.14	6.6	16.8
304.6	17	0.303	0.89	8.2	16.7
304.7	30	0.161	1.14	9.7	16.1
304.8	23	0.142	0.33	6.6	16.9
304.9	35	0.185	0.54	7.8	10.6
305.0	40	0.267	0.13	5.1	18.3
305.1	33	0.347	0.51	9.8	12.4
305.2	25	0.14	1.46	5.5	19.1
305.3	32	0.273	0.41	6.2	13.9
305.4	29	0.293	0.95	9.0	14.2
305.5	16	0.343	0.39	8.7	13.7
305.6	25	0.293	1.25	6.9	14.6
305.7	23	0.164	1.12	5.6	17.7
305.8	38	0.164	1.41	9.9	10.8
305.9	29	0.387	0.76	6.7	18.0
306.0	22	0.399	1.41	7.2	13.1
306.1	19	0.322	0.84	9.0	16.5
306.2	34	0.162	0.68	9.3	17.5
306.3	22	0.249	0.91	9.2	14.6
306.4	11	0.197	0.89	6.8	16.1
306.5	31	0.311	0.2	5.2	18.9
306.6	33	0.119	1.14	9.9	14.1
306.7	36	0.322	1.41	6.4	15.9
306.8	23	0.35	0.26	7.5	15.7
306.9	17	0.249	0.56	7.8	14.3
307.0	35	0.225	1.02	8.2	14.3
307.1	32	0.397	0.37	5.4	19.3
307.2	21	0.213	0.32	6.7	18.6
307.3	39	0.186	1.34	9.6	10.7
307.4	35	0.263	0.44	6.6	12.8
307.5	36	0.277	0.33	8.6	14.8
307.6	26	0.275	0.19	8.8	17.3
307.7	35	0.376	1.07	6.8	19.4
307.8	24	0.118	1.31	8.4	15.7
307.9	40	0.121	0.01	7.1	10.5
308.0	35	0.133	0.71	9.2	16.3
308.1	24	0.259	1.25	5.1	14.8
308.2	39	0.324	0.67	8.0	10.6
308.3	15	0.168	0.11	6.3	17.6
308.4	14	0.318	1.06	7.1	19.0
308.5	33	0.155	0.33	5.9	17.5
308.6	40	0.165	0.43	7.7	16.8
308.7	21	0.257	0.59	7.0	18.5
308.8	15	0.17	1.46	8.4	14.9
308.9	33	0.173	0.35	5.3	19.6
309.0	28	0.29	0.59	8.6	10.1
309.1	25	0.286	0.02	5.0	12.0
309.2	20	0.376	1.4	5.2	15.7
309.3	25	0.344	0.43	7.4	17.7
309.4	31	0.333	0.15	6.4	10.9
309.5	17	0.114	1.06	5.0	18.4
309.6	22	0.367	0.0	7.4	11.8
309.7	16	0.157	0.96	9.1	13.6
309.8	25	0.348	0.8	9.7	20.0
309.9	24	0.22	0.6	7.2	19.4
310.0	16	0.344	1.32	7.0	19.7
310.1	29	0.317	0.73	7.9	18.0
310.2	36	0.191	0.43	5.1	13.0
310.3	21	0.109	0.77	5.9	19.6
310.4	18	0.307	0.14	6.4	18.3
310.5	38	0.156	1.21	8.1	15.9
310.6	29	0.203	0.32	6.0	19.8
310.7	36	0.173	0.08	7.8	15.6
310.8	23	0.27	0.51	8.7	13.8
310.9	35	0.368	0.2	5.0	19.0
311.0	28	0.175	1.38	5.4	19.3
311.1	24	0.163	0.96	8.7	19.3
311.2	10	0.373	0.82	6.9	10.1
311.3	19	0.317	1.18	5.6	16.6
311.4	11	0.196	0.33	5.0	14.9
311.5	18	0.147	0.96	6.5	15.9
311.6	36	0.17	1.23	8.3	13.2
311.7	36	0.222	0.03	5.5	13.3
311.8	31	0.224	0.22	9.9	14.9
311.9	34	0.17	0.76	5.4	18.9
312.0	26	0.29	1.36	6.0	15.6
312.1	21	0.139	1.37	5.1	10.7
312.2	27	0.174	0.46	6.1	16.4
312.3	14	0.13	1.35	7.9	15.1
312.4	21	0.14	1.08	7.6	18.5
312.5	17	0.111	0.23	7.0	19.3
312.6	40	0.144	0.95	5.7	11.4
312.7	11	0.175	0.34	7.1	10.7
312.8	35	0.293	1.48	9.1	19.8
312.9	32	0.12	0.87	6.2	15.0
313.0	34	0.125	0.91	7.8	10.6
313.1	10	0.331	1.25	8.7	17.5
313.2	37	0.395	0.15	5.6	11.0
313.3	33	0.345	1.09	9.6	16.9
313.4	39	0.307	1.2	9.7	11.0
313.5	20	0.236	0.93	9.7	16.3
313.6	28	0.356	0.21	6.4	15.9
313.7	31	0.262	0.27	6.0	10.3
313.8	24	0.178	1.06	8.6	18.9
313.9	21	0.127	0.81	6.5	18.6
314.0	31	0.219	0.23	9.7	11.5
314.1	35	0.256	0.54	7.0	10.7
314.2	26	0.114	1.15	8.5	13.5
314.3	29	0.276	0.63	7.1	13.9
314.4	26	0.127	1.0	8.5	14.6
314.5	38	0.366	0.31	7.4	10.9
314.6	27	0.178	0.75	9.6	11.7
314.7	40	0.294	0.53	6.0	18.0
314.8	15	0.222	1.17	5.2	11.6
314.9	35	0.299	1.28	6.4	11.7
315.0	28	0.303	0.84	7.3	11.3
315.1	15	0.396	0.44	5.7	10.3
315.2	40	0.323	0.34	7.9	12.2
315.3	35	0.208	0.71	8.6	16.4
315.4	37	0.369	1.29	5.1	13.2
315.5	32	0.153	1.46	8.1	19.5
315.6	33	0.291	1.03	7.8	10.1
315.7	27	0.373	1.03	6.2	19.9
315.8	33	0.181	0.14	7.1	12.1
315.9	36	0.35	0.74	8.7	11.9
316.0	20	0.196	0.69	6.6	16.3
316.1	14	0.313	0.27	8.3	14.4
316.2	31	0.272	1.32	5.5	12.4
